year,species,species_latin,how_many_counted,total_hours
2018,"Boat-billed Heron",Cochlearius cochlearius,NA,89.5
2019,"Boat-billed Heron",Cochlearius cochlearius,NA,62
2010,"Roseate Spoonbill",Platalea ajaja,NA,53
2011,"Roseate Spoonbill",Platalea ajaja,NA,52
2012,"Roseate Spoonbill",Platalea ajaja,NA,69.5
2013,"Roseate Spoonbill",Platalea ajaja,NA,45
2014,"Roseate Spoonbill",Platalea ajaja,NA,66.5
2015,"Roseate Spoonbill",Platalea ajaja,NA,80.5
2016,"Roseate Spoonbill",Platalea ajaja,NA,61.35
2017,"Roseate Spoonbill",Platalea ajaja,1,87
2018,"Roseate Spoonbill",Platalea ajaja,NA,89.5
2019,"Roseate Spoonbill",Platalea ajaja,NA,62
2010,"Black Vulture",Coragyps atratus,66,53
2011,"Black Vulture",Coragyps atratus,37,52
2012,"Black Vulture",Coragyps atratus,25,69.5
2013,"Black Vulture",Coragyps atratus,24,45
2014,"Black Vulture",Coragyps atratus,43,66.5
2015,"Black Vulture",Coragyps atratus,33,80.5
2016,"Black Vulture",Coragyps atratus,89,61.35
2017,"Black Vulture",Coragyps atratus,49,87
2018,"Black Vulture",Coragyps atratus,60,89.5
2019,"Black Vulture",Coragyps atratus,69,62
2010,"Turkey Vulture",Cathartes aura,20,53
2011,"Turkey Vulture",Cathartes aura,34,52
2012,"Turkey Vulture",Cathartes aura,28,69.5
2013,"Turkey Vulture",Cathartes aura,35,45
2014,"Turkey Vulture",Cathartes aura,39,66.5
2015,"Turkey Vulture",Cathartes aura,22,80.5
2016,"Turkey Vulture",Cathartes aura,29,61.35
2017,"Turkey Vulture",Cathartes aura,22,87
2018,"Turkey Vulture",Cathartes aura,38,89.5
2019,"Turkey Vulture",Cathartes aura,28,62
2010,"King Vulture",Sarcoramphus papa,NA,53
2011,"King Vulture",Sarcoramphus papa,16,52
2012,"King Vulture",Sarcoramphus papa,NA,69.5
2013,"King Vulture",Sarcoramphus papa,NA,45
2014,"King Vulture",Sarcoramphus papa,2,66.5
2015,"King Vulture",Sarcoramphus papa,1,80.5
2016,"King Vulture",Sarcoramphus papa,1,61.35
2017,"King Vulture",Sarcoramphus papa,1,87
2018,"King Vulture",Sarcoramphus papa,1,89.5
2019,"King Vulture",Sarcoramphus papa,1,62
2010,"Osprey",Pandion haliaetus,NA,53
2011,"Osprey",Pandion haliaetus,NA,52
2012,"Osprey",Pandion haliaetus,NA,69.5
2013,"Osprey",Pandion haliaetus,NA,45
2014,"Osprey",Pandion haliaetus,NA,66.5
2015,"Osprey",Pandion haliaetus,NA,80.5
2016,"Osprey",Pandion haliaetus,NA,61.35
2017,"Osprey",Pandion haliaetus,NA,87
2018,"Osprey",Pandion haliaetus,NA,89.5
2019,"Osprey",Pandion haliaetus,1,62
2010,"White-tailed Kite",Elanus leucurus,NA,53
2011,"White-tailed Kite",Elanus leucurus,2,52
2012,"White-tailed Kite",Elanus leucurus,3,69.5
2013,"White-tailed Kite",Elanus leucurus,6,45
2014,"White-tailed Kite",Elanus leucurus,3,66.5
2015,"White-tailed Kite",Elanus leucurus,2,80.5
2016,"White-tailed Kite",Elanus leucurus,1,61.35
2017,"White-tailed Kite",Elanus leucurus,3,87
2018,"White-tailed Kite",Elanus leucurus,1,89.5
2019,"White-tailed Kite",Elanus leucurus,2,62
2010,"Hook-billed Kite",Chondrohierax uncinatus,NA,53
2011,"Hook-billed Kite",Chondrohierax uncinatus,NA,52
2012,"Hook-billed Kite",Chondrohierax uncinatus,NA,69.5
2013,"Hook-billed Kite",Chondrohierax uncinatus,NA,45
2014,"Hook-billed Kite",Chondrohierax uncinatus,NA,66.5
2015,"Hook-billed Kite",Chondrohierax uncinatus,NA,80.5
2016,"Hook-billed Kite",Chondrohierax uncinatus,NA,61.35
2017,"Hook-billed Kite",Chondrohierax uncinatus,1,87
2018,"Hook-billed Kite",Chondrohierax uncinatus,NA,89.5
2019,"Hook-billed Kite",Chondrohierax uncinatus,NA,62
2010,"Gray-headed Kite",Leptodon cayanensis,NA,53
2011,"Gray-headed Kite",Leptodon cayanensis,NA,52
2012,"Gray-headed Kite",Leptodon cayanensis,NA,69.5
2013,"Gray-headed Kite",Leptodon cayanensis,NA,45
2014,"Gray-headed Kite",Leptodon cayanensis,NA,66.5
2015,"Gray-headed Kite",Leptodon cayanensis,1,80.5
2016,"Gray-headed Kite",Leptodon cayanensis,1,61.35
2017,"Gray-headed Kite",Leptodon cayanensis,1,87
2018,"Gray-headed Kite",Leptodon cayanensis,1,89.5
2019,"Gray-headed Kite",Leptodon cayanensis,NA,62
2010,"Swallow-tailed Kite",Elanoides forficatus,3,53
2011,"Swallow-tailed Kite",Elanoides forficatus,NA,52
2012,"Swallow-tailed Kite",Elanoides forficatus,NA,69.5
2013,"Swallow-tailed Kite",Elanoides forficatus,NA,45
2014,"Swallow-tailed Kite",Elanoides forficatus,NA,66.5
2015,"Swallow-tailed Kite",Elanoides forficatus,NA,80.5
2016,"Swallow-tailed Kite",Elanoides forficatus,NA,61.35
2017,"Swallow-tailed Kite",Elanoides forficatus,NA,87
2018,"Swallow-tailed Kite",Elanoides forficatus,NA,89.5
2019,"Swallow-tailed Kite",Elanoides forficatus,NA,62
2010,"Black Hawk-Eagle",Spizaetus tyrannus,NA,53
2011,"Black Hawk-Eagle",Spizaetus tyrannus,NA,52
2012,"Black Hawk-Eagle",Spizaetus tyrannus,NA,69.5
2013,"Black Hawk-Eagle",Spizaetus tyrannus,1,45
2014,"Black Hawk-Eagle",Spizaetus tyrannus,NA,66.5
2015,"Black Hawk-Eagle",Spizaetus tyrannus,NA,80.5
2016,"Black Hawk-Eagle",Spizaetus tyrannus,NA,61.35
2017,"Black Hawk-Eagle",Spizaetus tyrannus,NA,87
2018,"Black Hawk-Eagle",Spizaetus tyrannus,NA,89.5
2019,"Black Hawk-Eagle",Spizaetus tyrannus,NA,62
2010,"Ornate Hawk-Eagle",Spizaetus ornatus,1,53
2011,"Ornate Hawk-Eagle",Spizaetus ornatus,NA,52
2012,"Ornate Hawk-Eagle",Spizaetus ornatus,NA,69.5
2013,"Ornate Hawk-Eagle",Spizaetus ornatus,NA,45
2014,"Ornate Hawk-Eagle",Spizaetus ornatus,NA,66.5
2015,"Ornate Hawk-Eagle",Spizaetus ornatus,NA,80.5
2016,"Ornate Hawk-Eagle",Spizaetus ornatus,NA,61.35
2017,"Ornate Hawk-Eagle",Spizaetus ornatus,1,87
2018,"Ornate Hawk-Eagle",Spizaetus ornatus,NA,89.5
2019,"Ornate Hawk-Eagle",Spizaetus ornatus,NA,62
2010,"Double-toothed Kite",Harpagus bidentatus,NA,53
2011,"Double-toothed Kite",Harpagus bidentatus,NA,52
2012,"Double-toothed Kite",Harpagus bidentatus,NA,69.5
2013,"Double-toothed Kite",Harpagus bidentatus,1,45
2014,"Double-toothed Kite",Harpagus bidentatus,NA,66.5
2015,"Double-toothed Kite",Harpagus bidentatus,NA,80.5
2016,"Double-toothed Kite",Harpagus bidentatus,NA,61.35
2017,"Double-toothed Kite",Harpagus bidentatus,1,87
2018,"Double-toothed Kite",Harpagus bidentatus,1,89.5
2019,"Double-toothed Kite",Harpagus bidentatus,NA,62
2010,"Mississippi Kite",Ictinia mississippiensis,NA,53
2011,"Mississippi Kite",Ictinia mississippiensis,1,52
2012,"Mississippi Kite",Ictinia mississippiensis,NA,69.5
2013,"Mississippi Kite",Ictinia mississippiensis,NA,45
2014,"Mississippi Kite",Ictinia mississippiensis,NA,66.5
2015,"Mississippi Kite",Ictinia mississippiensis,NA,80.5
2016,"Mississippi Kite",Ictinia mississippiensis,NA,61.35
2017,"Mississippi Kite",Ictinia mississippiensis,NA,87
2018,"Mississippi Kite",Ictinia mississippiensis,NA,89.5
2019,"Mississippi Kite",Ictinia mississippiensis,NA,62
2010,"Tiny Hawk",Accipiter superciliosus,NA,53
2011,"Tiny Hawk",Accipiter superciliosus,NA,52
2012,"Tiny Hawk",Accipiter superciliosus,NA,69.5
2013,"Tiny Hawk",Accipiter superciliosus,1,45
2014,"Tiny Hawk",Accipiter superciliosus,NA,66.5
2015,"Tiny Hawk",Accipiter superciliosus,NA,80.5
2016,"Tiny Hawk",Accipiter superciliosus,NA,61.35
2017,"Tiny Hawk",Accipiter superciliosus,NA,87
2018,"Tiny Hawk",Accipiter superciliosus,NA,89.5
2019,"Tiny Hawk",Accipiter superciliosus,NA,62
2010,"Crane Hawk",Geranospiza caerulescens,NA,53
2011,"Crane Hawk",Geranospiza caerulescens,NA,52
2012,"Crane Hawk",Geranospiza caerulescens,NA,69.5
2013,"Crane Hawk",Geranospiza caerulescens,NA,45
2014,"Crane Hawk",Geranospiza caerulescens,NA,66.5
2015,"Crane Hawk",Geranospiza caerulescens,NA,80.5
2016,"Crane Hawk",Geranospiza caerulescens,1,61.35
2017,"Crane Hawk",Geranospiza caerulescens,NA,87
2018,"Crane Hawk",Geranospiza caerulescens,NA,89.5
2019,"Crane Hawk",Geranospiza caerulescens,NA,62
2010,"Great Black Hawk",Buteogallus urubitinga,NA,53
2011,"Great Black Hawk",Buteogallus urubitinga,NA,52
2012,"Great Black Hawk",Buteogallus urubitinga,NA,69.5
2013,"Great Black Hawk",Buteogallus urubitinga,NA,45
2014,"Great Black Hawk",Buteogallus urubitinga,1,66.5
2015,"Great Black Hawk",Buteogallus urubitinga,1,80.5
2016,"Great Black Hawk",Buteogallus urubitinga,NA,61.35
2017,"Great Black Hawk",Buteogallus urubitinga,NA,87
2018,"Great Black Hawk",Buteogallus urubitinga,NA,89.5
2019,"Great Black Hawk",Buteogallus urubitinga,NA,62
2010,"Barred Hawk",Morphnarchus princeps,NA,53
2011,"Barred Hawk",Morphnarchus princeps,NA,52
2012,"Barred Hawk",Morphnarchus princeps,NA,69.5
2013,"Barred Hawk",Morphnarchus princeps,NA,45
2014,"Barred Hawk",Morphnarchus princeps,NA,66.5
2015,"Barred Hawk",Morphnarchus princeps,1,80.5
2016,"Barred Hawk",Morphnarchus princeps,NA,61.35
2017,"Barred Hawk",Morphnarchus princeps,NA,87
2018,"Barred Hawk",Morphnarchus princeps,1,89.5
2019,"Barred Hawk",Morphnarchus princeps,NA,62
2010,"Roadside Hawk",Rupornis magnirostris,2,53
2011,"Roadside Hawk",Rupornis magnirostris,2,52
2012,"Roadside Hawk",Rupornis magnirostris,1,69.5
2013,"Roadside Hawk",Rupornis magnirostris,1,45
2014,"Roadside Hawk",Rupornis magnirostris,2,66.5
2015,"Roadside Hawk",Rupornis magnirostris,1,80.5
2016,"Roadside Hawk",Rupornis magnirostris,1,61.35
2017,"Roadside Hawk",Rupornis magnirostris,4,87
2018,"Roadside Hawk",Rupornis magnirostris,5,89.5
2019,"Roadside Hawk",Rupornis magnirostris,2,62
2010,"Harris's Hawk",Parabuteo unicinctus,NA,53
2011,"Harris's Hawk",Parabuteo unicinctus,NA,52
2012,"Harris's Hawk",Parabuteo unicinctus,NA,69.5
2013,"Harris's Hawk",Parabuteo unicinctus,NA,45
2014,"Harris's Hawk",Parabuteo unicinctus,1,66.5
2015,"Harris's Hawk",Parabuteo unicinctus,NA,80.5
2016,"Harris's Hawk",Parabuteo unicinctus,NA,61.35
2017,"Harris's Hawk",Parabuteo unicinctus,NA,87
2018,"Harris's Hawk",Parabuteo unicinctus,NA,89.5
2019,"Harris's Hawk",Parabuteo unicinctus,NA,62
2010,"White Hawk",Pseudastur albicollis,3,53
2011,"White Hawk",Pseudastur albicollis,1,52
2012,"White Hawk",Pseudastur albicollis,NA,69.5
2013,"White Hawk",Pseudastur albicollis,2,45
2014,"White Hawk",Pseudastur albicollis,3,66.5
2015,"White Hawk",Pseudastur albicollis,NA,80.5
2016,"White Hawk",Pseudastur albicollis,NA,61.35
2017,"White Hawk",Pseudastur albicollis,2,87
2018,"White Hawk",Pseudastur albicollis,5,89.5
2019,"White Hawk",Pseudastur albicollis,2,62
2010,"Gray Hawk",Buteo plagiatus,2,53
2011,"Gray Hawk",Buteo plagiatus,2,52
2012,"Gray Hawk",Buteo plagiatus,2,69.5
2013,"Gray Hawk",Buteo plagiatus,NA,45
2014,"Gray Hawk",Buteo plagiatus,6,66.5
2015,"Gray Hawk",Buteo plagiatus,NA,80.5
2016,"Gray Hawk",Buteo plagiatus,1,61.35
2017,"Gray Hawk",Buteo plagiatus,1,87
2018,"Gray Hawk",Buteo plagiatus,2,89.5
2019,"Gray Hawk",Buteo plagiatus,3,62
2010,"Broad-winged Hawk",Buteo platypterus,2,53
2011,"Broad-winged Hawk",Buteo platypterus,NA,52
2012,"Broad-winged Hawk",Buteo platypterus,5,69.5
2013,"Broad-winged Hawk",Buteo platypterus,1,45
2014,"Broad-winged Hawk",Buteo platypterus,2,66.5
2015,"Broad-winged Hawk",Buteo platypterus,1,80.5
2016,"Broad-winged Hawk",Buteo platypterus,NA,61.35
2017,"Broad-winged Hawk",Buteo platypterus,7,87
2018,"Broad-winged Hawk",Buteo platypterus,8,89.5
2019,"Broad-winged Hawk",Buteo platypterus,5,62
2010,"Short-tailed Hawk",Buteo brachyurus,NA,53
2011,"Short-tailed Hawk",Buteo brachyurus,NA,52
